acoustic_data,time_to_failure
-7,3.3962978178
-10,3.3962978167
-14,3.3962978156
-13,3.3962978145
-7,3.3962978134
-6,3.3962978123
-7,3.3962978112
1,3.3962978101
1,3.396297809
5,3.3962978079
4,3.3962978068
4,3.3962978057
4,3.3962978046
4,3.3962978035
5,3.3962978024
3,3.3962978013
1,3.3962978002
5,3.3962977991
1,3.396297798
8,3.3962977969
12,3.3962977958
14,3.3962977947
7,3.3962977936
13,3.3962977925
9,3.3962977914
11,3.3962977903
11,3.3962977892
11,3.3962977881
7,3.396297787
4,3.3962977859
4,3.3962977848
2,3.3962977837
-1,3.3962977826
-2,3.3962977815
0,3.3962977804
-4,3.3962977793
-3,3.3962977782
-3,3.3962977771
-1,3.396297776
10,3.3962977749
7,3.3962977738
10,3.3962977727
15,3.3962977716
14,3.3962977705
15,3.3962977694
11,3.3962977683
7,3.3962977672
2,3.3962977661
1,3.396297765
2,3.3962977639
3,3.3962977628
0,3.3962977617
1,3.3962977606
1,3.3962977595
7,3.3962977584
10,3.3962977573
8,3.3962977562
3,3.3962977551
3,3.396297754
6,3.3962977529
11,3.3962977518
11,3.3962977507
13,3.3962977496
17,3.3962977485
16,3.3962977474
8,3.3962977463
8,3.3962977452
8,3.3962977441
8,3.396297743
5,3.3962977419
7,3.3962977408
10,3.3962977397
9,3.3962977386
6,3.3962977375
3,3.3962977364
6,3.3962977353
0,3.3962977342
-5,3.3962977331
-5,3.396297732
-4,3.3962977309
-4,3.3962977298
1,3.3962977287
0,3.3962977276
2,3.3962977265
2,3.3962977254
4,3.3962977243
7,3.3962977232
8,3.3962977221
8,3.396297721
4,3.3962977199
6,3.3962977188
2,3.3962977177
-1,3.3962977166
-3,3.3962977155
3,3.3962977144
2,3.3962977133
6,3.3962977122
5,3.3962977111
8,3.39629771
13,3.3962977089
12,3.3962977078
12,3.3962977067
12,3.3962977056
9,3.3962977045
4,3.3962977034
3,3.3962977023
-2,3.3962977012
-3,3.3962977001
-3,3.396297699
-4,3.3962976979
0,3.3962976968
-4,3.3962976957
1,3.3962976946
4,3.3962976935
6,3.3962976924
8,3.3962976913
10,3.3962976902
9,3.3962976891
9,3.396297688
9,3.3962976869
1,3.3962976858
1,3.3962976847
-4,3.3962976836
-7,3.3962976825
-7,3.3962976814
-1,3.3962976803
3,3.3962976792
4,3.3962976781
8,3.396297677
13,3.3962976759
13,3.3962976748
11,3.3962976737
14,3.3962976726
11,3.3962976715
9,3.3962976704
0,3.3962976693
3,3.3962976682
5,3.3962976671
7,3.396297666
5,3.3962976649
9,3.3962976638
6,3.3962976627
5,3.3962976616
11,3.3962976605
12,3.3962976594
17,3.3962976583
13,3.3962976572
17,3.3962976561
15,3.396297655
10,3.3962976539
8,3.3962976528
13,3.3962976517
12,3.3962976506
9,3.3962976495
1,3.3962976484
2,3.3962976473
0,3.3962976462
2,3.3962976451
4,3.396297644
-1,3.3962976429
0,3.3962976418
-2,3.3962976407
-1,3.3962976396
4,3.3962976385
8,3.3962976374
8,3.3962976363
6,3.3962976352
8,3.3962976341
6,3.396297633
4,3.3962976319
7,3.3962976308
2,3.3962976297
3,3.3962976286
4,3.3962976275
6,3.3962976264
6,3.3962976253
9,3.3962976242
5,3.3962976231
3,3.396297622
4,3.3962976209
6,3.3962976198
9,3.3962976187
7,3.3962976176
9,3.3962976165
11,3.3962976154
12,3.3962976143
10,3.3962976132
3,3.3962976121
-1,3.396297611
4,3.3962976099
4,3.3962976088
3,3.3962976077
3,3.3962976066
3,3.3962976055
2,3.3962976044
1,3.3962976033
-1,3.3962976022
2,3.3962976011
5,3.3962976
6,3.3962975989
5,3.3962975978
3,3.3962975967
-1,3.3962975956
2,3.3962975945
-3,3.3962975934
-8,3.3962975923
-4,3.3962975912
-2,3.3962975901
0,3.396297589
2,3.3962975879
-1,3.3962975868
1,3.3962975857
6,3.3962975846
9,3.3962975835
3,3.3962975824
6,3.3962975813
4,3.3962975802
3,3.3962975791
4,3.396297578
9,3.3962975769
11,3.3962975758
5,3.3962975747
8,3.3962975736
8,3.3962975725
7,3.3962975714
6,3.3962975703
9,3.3962975692
5,3.3962975681
7,3.396297567
9,3.3962975659
8,3.3962975648
8,3.3962975637
10,3.3962975626
18,3.3962975615
18,3.3962975604
18,3.3962975593
12,3.3962975582
13,3.3962975571
12,3.396297556
7,3.3962975549
4,3.3962975538
4,3.3962975527
4,3.3962975516
4,3.3962975505
10,3.3962975494
5,3.3962975483
6,3.3962975472
10,3.3962975461
11,3.396297545
8,3.3962975439
7,3.3962975428
2,3.3962975417
7,3.3962975406
6,3.3962975395
3,3.3962975384
2,3.3962975373
-4,3.3962975362
-2,3.3962975351
0,3.396297534
-1,3.3962975329
0,3.3962975318
2,3.3962975307
8,3.3962975296
7,3.3962975285
4,3.3962975274
5,3.3962975263
7,3.3962975252
3,3.3962975241
4,3.396297523
2,3.3962975219
2,3.3962975208
5,3.3962975197
4,3.3962975186
2,3.3962975175
7,3.3962975164
4,3.3962975153
4,3.3962975142
2,3.3962975131
2,3.396297512
1,3.3962975109
0,3.3962975098
1,3.3962975087
3,3.3962975076
4,3.3962975065
3,3.3962975054
4,3.3962975043
7,3.3962975032
7,3.3962975021
4,3.396297501
7,3.3962974999
11,3.3962974988
8,3.3962974977
5,3.3962974966
10,3.3962974955
5,3.3962974944
10,3.3962974933
6,3.3962974922
3,3.3962974911
5,3.39629749
5,3.3962974889
10,3.3962974878
9,3.3962974867
2,3.3962974856
1,3.3962974845
1,3.3962974834
3,3.3962974823
0,3.3962974812
-5,3.3962974801
-4,3.396297479
-8,3.3962974779
-2,3.3962974768
4,3.3962974757
6,3.3962974746
1,3.3962974735
6,3.3962974724
7,3.3962974713
5,3.3962974702
5,3.3962974691
11,3.396297468
11,3.3962974669
13,3.3962974658
11,3.3962974647
6,3.3962974636
4,3.3962974625
3,3.3962974614
3,3.3962974603
4,3.3962974592
5,3.3962974581
6,3.396297457
8,3.3962974559
8,3.3962974548
10,3.3962974537
14,3.3962974526
12,3.3962974515
9,3.3962974504
5,3.3962974493
6,3.3962974482
7,3.3962974471
8,3.396297446
8,3.3962974449
5,3.3962974438
3,3.3962974427
2,3.3962974416
3,3.3962974405
2,3.3962974394
3,3.3962974383
5,3.3962974372
6,3.3962974361
6,3.396297435
4,3.3962974339
3,3.3962974328
3,3.3962974317
0,3.3962974306
1,3.3962974295
1,3.3962974284
2,3.3962974273
-5,3.3962974262
-1,3.3962974251
-4,3.396297424
-8,3.3962974229
-4,3.3962974218
-2,3.3962974207
1,3.3962974196
7,3.3962974185
7,3.3962974174
8,3.3962974163
8,3.3962974152
12,3.3962974141
12,3.396297413
12,3.3962974119
8,3.3962974108
5,3.3962974097
5,3.3962974086
9,3.3962974075
9,3.3962974064
8,3.3962974053
3,3.3962974042
-1,3.3962974031
4,3.396297402
-2,3.3962974009
2,3.3962973998
6,3.3962973987
2,3.3962973976
6,3.3962973965
7,3.3962973954
6,3.3962973943
6,3.3962973932
6,3.3962973921
9,3.396297391
4,3.3962973899
5,3.3962973888
10,3.3962973877
10,3.3962973866
9,3.3962973855
8,3.3962973844
8,3.3962973833
5,3.3962973822
4,3.3962973811
4,3.39629738
7,3.3962973789
7,3.3962973778
5,3.3962973767
4,3.3962973756
5,3.3962973745
5,3.3962973734
6,3.3962973723
2,3.3962973712
5,3.3962973701
4,3.396297369
4,3.3962973679
6,3.3962973668
8,3.3962973657
9,3.3962973646
3,3.3962973635
7,3.3962973624
7,3.3962973613
5,3.3962973602
1,3.3962973591
5,3.396297358
6,3.3962973569
5,3.3962973558
8,3.3962973547
5,3.3962973536
2,3.3962973525
2,3.3962973514
-2,3.3962973503
1,3.3962973492
-1,3.3962973481
5,3.396297347
8,3.3962973459
6,3.3962973448
6,3.3962973437
5,3.3962973426
4,3.3962973415
4,3.3962973404
13,3.3962973393
5,3.3962973382
10,3.3962973371
7,3.396297336
4,3.3962973349
2,3.3962973338
-2,3.3962973327
-1,3.3962973316
3,3.3962973305
-2,3.3962973294
0,3.3962973283
3,3.3962973272
2,3.3962973261
0,3.396297325
6,3.3962973239
3,3.3962973228
6,3.3962973217
5,3.3962973206
1,3.3962973195
5,3.3962973184
6,3.3962973173
5,3.3962973162
10,3.3962973151
5,3.396297314
2,3.3962973129
3,3.3962973118
-2,3.3962973107
0,3.3962973096
8,3.3962973085
8,3.3962973074
8,3.3962973063
8,3.3962973052
1,3.3962973041
4,3.396297303
5,3.3962973019
11,3.3962973008
12,3.3962972997
4,3.3962972986
9,3.3962972975
9,3.3962972964
8,3.3962972953
9,3.3962972942
5,3.3962972931
-1,3.396297292
1,3.3962972909
4,3.3962972898
4,3.3962972887
7,3.3962972876
9,3.3962972865
12,3.3962972854
10,3.3962972843
8,3.3962972832
9,3.3962972821
10,3.396297281
10,3.3962972799
6,3.3962972788
5,3.3962972777
6,3.3962972766
6,3.3962972755
5,3.3962972744
7,3.3962972733
2,3.3962972722
2,3.3962972711
-3,3.39629727
0,3.3962972689
0,3.3962972678
-2,3.3962972667
3,3.3962972656
1,3.3962972645
2,3.3962972634
-1,3.3962972623
-2,3.3962972612
1,3.3962972601
5,3.396297259
6,3.3962972579
8,3.3962972568
7,3.3962972557
6,3.3962972546
6,3.3962972535
2,3.3962972524
-1,3.3962972513
3,3.3962972502
7,3.3962972491
5,3.396297248
9,3.3962972469
5,3.3962972458
4,3.3962972447
6,3.3962972436
4,3.3962972425
2,3.3962972414
2,3.3962972403
0,3.3962972392
2,3.3962972381
3,3.396297237
6,3.3962972359
11,3.3962972348
4,3.3962972337
12,3.3962972326
16,3.3962972315
14,3.3962972304
17,3.3962972293
10,3.3962972282
8,3.3962972271
9,3.396297226
7,3.3962972249
2,3.3962972238
7,3.3962972227
7,3.3962972216
5,3.3962972205
1,3.3962972194
7,3.3962972183
6,3.3962972172
3,3.3962972161
3,3.396297215
6,3.3962972139
8,3.3962972128
7,3.3962972117
10,3.3962972106
10,3.3962972095
10,3.3962972084
10,3.3962972073
6,3.3962972062
3,3.3962972051
2,3.396297204
3,3.3962972029
6,3.3962972018
2,3.3962972007
-1,3.3962971996
2,3.3962971985
5,3.3962971974
4,3.3962971963
2,3.3962971952
5,3.3962971941
5,3.396297193
5,3.3962971919
2,3.3962971908
6,3.3962971897
8,3.3962971886
4,3.3962971875
2,3.3962971864
2,3.3962971853
3,3.3962971842
5,3.3962971831
7,3.396297182
6,3.3962971809
7,3.3962971798
7,3.3962971787
9,3.3962971776
8,3.3962971765
10,3.3962971754
5,3.3962971743
7,3.3962971732
2,3.3962971721
2,3.396297171
-4,3.3962971699
-3,3.3962971688
2,3.3962971677
3,3.3962971666
1,3.3962971655
5,3.3962971644
6,3.3962971633
3,3.3962971622
1,3.3962971611
5,3.39629716
6,3.3962971589
10,3.3962971578
9,3.3962971567
6,3.3962971556
5,3.3962971545
5,3.3962971534
3,3.3962971523
2,3.3962971512
0,3.3962971501
1,3.396297149
0,3.3962971479
3,3.3962971468
5,3.3962971457
1,3.3962971446
0,3.3962971435
4,3.3962971424
2,3.3962971413
8,3.3962971402
7,3.3962971391
9,3.396297138
7,3.3962971369
4,3.3962971358
8,3.3962971347
10,3.3962971336
5,3.3962971325
4,3.3962971314
11,3.3962971303
7,3.3962971292
7,3.3962971281
5,3.396297127
9,3.3962971259
7,3.3962971248
7,3.3962971237
11,3.3962971226
11,3.3962971215
8,3.3962971204
11,3.3962971193
8,3.3962971182
8,3.3962971171
8,3.396297116
8,3.3962971149
7,3.3962971138
10,3.3962971127
10,3.3962971116
8,3.3962971105
2,3.3962971094
2,3.3962971083
4,3.3962971072
5,3.3962971061
5,3.396297105
2,3.3962971039
3,3.3962971028
6,3.3962971017
7,3.3962971006
5,3.3962970995
1,3.3962970984
3,3.3962970973
2,3.3962970962
2,3.3962970951
1,3.396297094
4,3.3962970929
1,3.3962970918
2,3.3962970907
6,3.3962970896
3,3.3962970885
7,3.3962970874
3,3.3962970863
1,3.3962970852
0,3.3962970841
4,3.396297083
1,3.3962970819
4,3.3962970808
5,3.3962970797
4,3.3962970786
6,3.3962970775
2,3.3962970764
7,3.3962970753
7,3.3962970742
3,3.3962970731
2,3.396297072
7,3.3962970709
8,3.3962970698
6,3.3962970687
7,3.3962970676
9,3.3962970665
5,3.3962970654
3,3.3962970643
0,3.3962970632
0,3.3962970621
3,3.396297061
4,3.3962970599
3,3.3962970588
4,3.3962970577
8,3.3962970566
5,3.3962970555
3,3.3962970544
10,3.3962970533
5,3.3962970522
6,3.3962970511
4,3.39629705
5,3.3962970489
4,3.3962970478
3,3.3962970467
4,3.3962970456
7,3.3962970445
7,3.3962970434
7,3.3962970423
4,3.3962970412
6,3.3962970401
6,3.396297039
0,3.3962970379
6,3.3962970368
7,3.3962970357
11,3.3962970346
11,3.3962970335
9,3.3962970324
5,3.3962970313
4,3.3962970302
5,3.3962970291
0,3.396297028
4,3.3962970269
6,3.3962970258
8,3.3962970247
7,3.3962970236
4,3.3962970225
6,3.3962970214
10,3.3962970203
7,3.3962970192
6,3.3962970181
1,3.396297017
2,3.3962970159
8,3.3962970148
5,3.3962970137
5,3.3962970126
3,3.3962970115
7,3.3962970104
4,3.3962970093
4,3.3962970082
4,3.3962970071
8,3.396297006
9,3.3962970049
10,3.3962970038
7,3.3962970027
9,3.3962970016
10,3.3962970005
11,3.3962969994
8,3.3962969983
6,3.3962969972
6,3.3962969961
5,3.396296995
3,3.3962969939
3,3.3962969928
4,3.3962969917
0,3.3962969906
-1,3.3962969895
-1,3.3962969884
0,3.3962969873
1,3.3962969862
2,3.3962969851
4,3.396296984
3,3.3962969829
4,3.3962969818
8,3.3962969807
6,3.3962969796
-3,3.3962969785
2,3.3962969774
1,3.3962969763
1,3.3962969752
-1,3.3962969741
-3,3.396296973
-7,3.3962969719
-8,3.3962969708
-4,3.3962969697
-1,3.3962969686
5,3.3962969675
5,3.3962969664
12,3.3962969653
10,3.3962969642
12,3.3962969631
9,3.396296962
15,3.3962969609
11,3.3962969598
12,3.3962969587
8,3.3962969576
8,3.3962969565
7,3.3962969554
5,3.3962969543
4,3.3962969532
1,3.3962969521
1,3.396296951
4,3.3962969499
12,3.3962969488
11,3.3962969477
12,3.3962969466
15,3.3962969455
9,3.3962969444
6,3.3962969433
2,3.3962969422
0,3.3962969411
-2,3.39629694
0,3.3962969389
0,3.3962969378
2,3.3962969367
4,3.3962969356
5,3.3962969345
7,3.3962969334
2,3.3962969323
7,3.3962969312
9,3.3962969301
7,3.396296929
3,3.3962969279
3,3.3962969268
4,3.3962969257
2,3.3962969246
7,3.3962969235
4,3.3962969224
0,3.3962969213
-3,3.3962969202
1,3.3962969191
3,3.396296918
4,3.3962969169
7,3.3962969158
7,3.3962969147
6,3.3962969136
7,3.3962969125
6,3.3962969114
13,3.3962969103
18,3.3962969092
12,3.3962969081
12,3.396296907
13,3.3962969059
6,3.3962969048
3,3.3962969037
9,3.3962969026
4,3.3962969015
2,3.3962969004
