acoustic_data,time_to_failure
12,5.173699245
10,5.1736992439
13,5.1736992428
7,5.1736992417
8,5.1736992406
9,5.1736992395
0,5.1736992384
-6,5.1736992373
-9,5.1736992362
-6,5.1736992351
-2,5.173699234
0,5.1736992329
8,5.1736992318
10,5.1736992307
11,5.1736992296
14,5.1736992285
16,5.1736992274
17,5.1736992263
19,5.1736992252
15,5.1736992241
12,5.173699223
6,5.1736992219
3,5.1736992208
-2,5.1736992197
-1,5.1736992186
-11,5.1736992175
-2,5.1736992164
0,5.1736992153
2,5.1736992142
4,5.1736992131
6,5.173699212
11,5.1736992109
13,5.1736992098
12,5.1736992087
6,5.1736992076
4,5.1736992065
-1,5.1736992054
-1,5.1736992043
-2,5.1736992032
4,5.1736992021
-2,5.173699201
0,5.1736991999
7,5.1736991988
12,5.1736991977
9,5.1736991966
3,5.1736991955
3,5.1736991944
3,5.1736991933
1,5.1736991922
-1,5.1736991911
0,5.17369919
0,5.1736991889
4,5.1736991878
2,5.1736991867
4,5.1736991856
3,5.1736991845
1,5.1736991834
8,5.1736991823
9,5.1736991812
11,5.1736991801
12,5.173699179
14,5.1736991779
13,5.1736991768
9,5.1736991757
14,5.1736991746
13,5.1736991735
5,5.1736991724
-3,5.1736991713
-2,5.1736991702
-9,5.1736991691
-5,5.173699168
-8,5.1736991669
-11,5.1736991658
-5,5.1736991647
-3,5.1736991636
4,5.1736991625
6,5.1736991614
7,5.1736991603
8,5.1736991592
10,5.1736991581
6,5.173699157
6,5.1736991559
8,5.1736991548
8,5.1736991537
7,5.1736991526
9,5.1736991515
14,5.1736991504
14,5.1736991493
11,5.1736991482
12,5.1736991471
8,5.173699146
7,5.1736991449
10,5.1736991438
1,5.1736991427
0,5.1736991416
4,5.1736991405
-5,5.1736991394
-10,5.1736991383
-6,5.1736991372
-6,5.1736991361
-10,5.173699135
-6,5.1736991339
6,5.1736991328
13,5.1736991317
13,5.1736991306
16,5.1736991295
16,5.1736991284
15,5.1736991273
19,5.1736991262
14,5.1736991251
13,5.173699124
5,5.1736991229
-1,5.1736991218
-3,5.1736991207
-6,5.1736991196
-7,5.1736991185
-8,5.1736991174
-3,5.1736991163
-2,5.1736991152
4,5.1736991141
10,5.173699113
9,5.1736991119
8,5.1736991108
12,5.1736991097
12,5.1736991086
12,5.1736991075
7,5.1736991064
6,5.1736991053
7,5.1736991042
4,5.1736991031
6,5.173699102
6,5.1736991009
5,5.1736990998
7,5.1736990987
6,5.1736990976
4,5.1736990965
6,5.1736990954
6,5.1736990943
2,5.1736990932
-3,5.1736990921
-6,5.173699091
-8,5.1736990899
-12,5.1736990888
-11,5.1736990877
-5,5.1736990866
0,5.1736990855
5,5.1736990844
9,5.1736990833
12,5.1736990822
10,5.1736990811
12,5.17369908
13,5.1736990789
13,5.1736990778
14,5.1736990767
11,5.1736990756
5,5.1736990745
-3,5.1736990734
-2,5.1736990723
0,5.1736990712
-3,5.1736990701
-6,5.173699069
2,5.1736990679
-1,5.1736990668
2,5.1736990657
3,5.1736990646
9,5.1736990635
12,5.1736990624
11,5.1736990613
12,5.1736990602
10,5.1736990591
9,5.173699058
7,5.1736990569
