acoustic_data,time_to_failure
2,6.2404990735
4,6.2404990724
4,6.2404990713
2,6.2404990702
-1,6.2404990691
4,6.240499068
5,6.2404990669
7,6.2404990658
4,6.2404990647
8,6.2404990636
10,6.2404990625
13,6.2404990614
7,6.2404990603
2,6.2404990592
1,6.2404990581
4,6.240499057
-5,6.2404990559
-3,6.2404990548
3,6.2404990537
0,6.2404990526
0,6.2404990515
1,6.2404990504
5,6.2404990493
10,6.2404990482
9,6.2404990471
10,6.240499046
8,6.2404990449
2,6.2404990438
-1,6.2404990427
6,6.2404990416
5,6.2404990405
0,6.2404990394
2,6.2404990383
5,6.2404990372
5,6.2404990361
8,6.240499035
11,6.2404990339
10,6.2404990328
5,6.2404990317
6,6.2404990306
10,6.2404990295
11,6.2404990284
10,6.2404990273
3,6.2404990262
5,6.2404990251
2,6.240499024
-3,6.2404990229
0,6.2404990218
-1,6.2404990207
-2,6.2404990196
-1,6.2404990185
1,6.2404990174
8,6.2404990163
6,6.2404990152
6,6.2404990141
7,6.240499013
6,6.2404990119
9,6.2404990108
7,6.2404990097
4,6.2404990086
11,6.2404990075
4,6.2404990064
4,6.2404990053
3,6.2404990042
6,6.2404990031
3,6.240499002
2,6.2404990009
3,6.2404989998
7,6.2404989987
8,6.2404989976
11,6.2404989965
6,6.2404989954
2,6.2404989943
5,6.2404989932
8,6.2404989921
6,6.240498991
0,6.2404989899
1,6.2404989888
-1,6.2404989877
2,6.2404989866
3,6.2404989855
5,6.2404989844
7,6.2404989833
6,6.2404989822
6,6.2404989811
4,6.24049898
4,6.2404989789
9,6.2404989778
7,6.2404989767
1,6.2404989756
2,6.2404989745
6,6.2404989734
6,6.2404989723
4,6.2404989712
10,6.2404989701
6,6.240498969
8,6.2404989679
6,6.2404989668
6,6.2404989657
4,6.2404989646
7,6.2404989635
7,6.2404989624
7,6.2404989613
-1,6.2404989602
3,6.2404989591
7,6.240498958
1,6.2404989569
0,6.2404989558
3,6.2404989547
5,6.2404989536
5,6.2404989525
8,6.2404989514
3,6.2404989503
6,6.2404989492
9,6.2404989481
7,6.240498947
11,6.2404989459
8,6.2404989448
7,6.2404989437
8,6.2404989426
10,6.2404989415
6,6.2404989404
8,6.2404989393
4,6.2404989382
3,6.2404989371
6,6.240498936
5,6.2404989349
7,6.2404989338
0,6.2404989327
2,6.2404989316
11,6.2404989305
5,6.2404989294
5,6.2404989283
2,6.2404989272
1,6.2404989261
5,6.240498925
4,6.2404989239
7,6.2404989228
4,6.2404989217
7,6.2404989206
6,6.2404989195
2,6.2404989184
-3,6.2404989173
3,6.2404989162
8,6.2404989151
4,6.240498914
6,6.2404989129
9,6.2404989118
11,6.2404989107
10,6.2404989096
11,6.2404989085
7,6.2404989074
7,6.2404989063
6,6.2404989052
7,6.2404989041
3,6.240498903
4,6.2404989019
4,6.2404989008
2,6.2404988997
2,6.2404988986
5,6.2404988975
7,6.2404988964
3,6.2404988953
4,6.2404988942
5,6.2404988931
4,6.240498892
6,6.2404988909
6,6.2404988898
2,6.2404988887
6,6.2404988876
3,6.2404988865
5,6.2404988854
4,6.2404988843
3,6.2404988832
4,6.2404988821
4,6.240498881
8,6.2404988799
7,6.2404988788
2,6.2404988777
4,6.2404988766
8,6.2404988755
7,6.2404988744
4,6.2404988733
4,6.2404988722
0,6.2404988711
2,6.24049887
0,6.2404988689
3,6.2404988678
8,6.2404988667
3,6.2404988656
1,6.2404988645
5,6.2404988634
5,6.2404988623
3,6.2404988612
6,6.2404988601
3,6.240498859
11,6.2404988579
12,6.2404988568
8,6.2404988557
5,6.2404988546
3,6.2404988535
2,6.2404988524
0,6.2404988513
-2,6.2404988502
6,6.2404988491
7,6.240498848
9,6.2404988469
3,6.2404988458
-1,6.2404988447
1,6.2404988436
-2,6.2404988425
5,6.2404988414
4,6.2404988403
5,6.2404988392
5,6.2404988381
4,6.240498837
5,6.2404988359
6,6.2404988348
6,6.2404988337
3,6.2404988326
10,6.2404988315
7,6.2404988304
6,6.2404988293
5,6.2404988282
8,6.2404988271
5,6.240498826
7,6.2404988249
7,6.2404988238
4,6.2404988227
2,6.2404988216
2,6.2404988205
7,6.2404988194
6,6.2404988183
8,6.2404988172
5,6.2404988161
4,6.240498815
1,6.2404988139
0,6.2404988128
4,6.2404988117
7,6.2404988106
6,6.2404988095
7,6.2404988084
4,6.2404988073
9,6.2404988062
3,6.2404988051
4,6.240498804
6,6.2404988029
2,6.2404988018
-1,6.2404988007
6,6.2404987996
4,6.2404987985
5,6.2404987974
6,6.2404987963
4,6.2404987952
5,6.2404987941
6,6.240498793
7,6.2404987919
2,6.2404987908
3,6.2404987897
2,6.2404987886
2,6.2404987875
1,6.2404987864
4,6.2404987853
6,6.2404987842
6,6.2404987831
7,6.240498782
9,6.2404987809
6,6.2404987798
12,6.2404987787
7,6.2404987776
4,6.2404987765
6,6.2404987754
7,6.2404987743
4,6.2404987732
2,6.2404987721
6,6.240498771
3,6.2404987699
3,6.2404987688
-2,6.2404987677
-2,6.2404987666
5,6.2404987655
4,6.2404987644
8,6.2404987633
9,6.2404987622
8,6.2404987611
7,6.24049876
1,6.2404987589
4,6.2404987578
7,6.2404987567
2,6.2404987556
3,6.2404987545
0,6.2404987534
4,6.2404987523
3,6.2404987512
4,6.2404987501
1,6.240498749
3,6.2404987479
4,6.2404987468
3,6.2404987457
3,6.2404987446
5,6.2404987435
7,6.2404987424
10,6.2404987413
4,6.2404987402
5,6.2404987391
7,6.240498738
8,6.2404987369
9,6.2404987358
10,6.2404987347
9,6.2404987336
8,6.2404987325
6,6.2404987314
5,6.2404987303
-1,6.2404987292
1,6.2404987281
2,6.240498727
2,6.2404987259
4,6.2404987248
2,6.2404987237
3,6.2404987226
5,6.2404987215
7,6.2404987204
6,6.2404987193
6,6.2404987182
4,6.2404987171
6,6.240498716
4,6.2404987149
5,6.2404987138
6,6.2404987127
5,6.2404987116
0,6.2404987105
2,6.2404987094
4,6.2404987083
6,6.2404987072
0,6.2404987061
7,6.240498705
7,6.2404987039
7,6.2404987028
6,6.2404987017
5,6.2404987006
5,6.2404986995
4,6.2404986984
1,6.2404986973
-4,6.2404986962
-2,6.2404986951
0,6.240498694
0,6.2404986929
4,6.2404986918
3,6.2404986907
7,6.2404986896
5,6.2404986885
8,6.2404986874
7,6.2404986863
6,6.2404986852
8,6.2404986841
6,6.240498683
2,6.2404986819
1,6.2404986808
3,6.2404986797
1,6.2404986786
3,6.2404986775
0,6.2404986764
3,6.2404986753
4,6.2404986742
4,6.2404986731
3,6.240498672
8,6.2404986709
3,6.2404986698
2,6.2404986687
6,6.2404986676
6,6.2404986665
5,6.2404986654
3,6.2404986643
3,6.2404986632
3,6.2404986621
4,6.240498661
2,6.2404986599
1,6.2404986588
5,6.2404986577
4,6.2404986566
8,6.2404986555
12,6.2404986544
8,6.2404986533
5,6.2404986522
11,6.2404986511
8,6.24049865
8,6.2404986489
4,6.2404986478
1,6.2404986467
3,6.2404986456
1,6.2404986445
1,6.2404986434
4,6.2404986423
12,6.2404986412
6,6.2404986401
3,6.240498639
1,6.2404986379
2,6.2404986368
6,6.2404986357
