acoustic_data,time_to_failure
8,6.7486958232
8,6.7486958221
4,6.748695821
6,6.7486958199
2,6.7486958188
2,6.7486958177
4,6.7486958166
1,6.7486958155
1,6.7486958144
4,6.7486958133
3,6.7486958122
5,6.7486958111
6,6.74869581
7,6.7486958089
6,6.7486958078
2,6.7486958067
6,6.7486958056
7,6.7486958045
4,6.7486958034
2,6.7486958023
8,6.7486958012
4,6.7486958001
-2,6.748695799
1,6.7486957979
3,6.7486957968
1,6.7486957957
3,6.7486957946
5,6.7486957935
5,6.7486957924
6,6.7486957913
6,6.7486957902
4,6.7486957891
1,6.748695788
6,6.7486957869
7,6.7486957858
7,6.7486957847
7,6.7486957836
5,6.7486957825
3,6.7486957814
2,6.7486957803
6,6.7486957792
4,6.7486957781
2,6.748695777
3,6.7486957759
2,6.7486957748
4,6.7486957737
6,6.7486957726
6,6.7486957715
3,6.7486957704
5,6.7486957693
6,6.7486957682
7,6.7486957671
3,6.748695766
8,6.7486957649
6,6.7486957638
2,6.7486957627
5,6.7486957616
3,6.7486957605
4,6.7486957594
8,6.7486957583
7,6.7486957572
7,6.7486957561
7,6.748695755
1,6.7486957539
3,6.7486957528
7,6.7486957517
3,6.7486957506
0,6.7486957495
3,6.7486957484
5,6.7486957473
-2,6.7486957462
0,6.7486957451
3,6.748695744
6,6.7486957429
6,6.7486957418
3,6.7486957407
4,6.7486957396
4,6.7486957385
5,6.7486957374
8,6.7486957363
12,6.7486957352
12,6.7486957341
7,6.748695733
7,6.7486957319
9,6.7486957308
8,6.7486957297
4,6.7486957286
4,6.7486957275
2,6.7486957264
0,6.7486957253
-1,6.7486957242
-5,6.7486957231
-4,6.748695722
-8,6.7486957209
-12,6.7486957198
-11,6.7486957187
-10,6.7486957176
-10,6.7486957165
-3,6.7486957154
4,6.7486957143
14,6.7486957132
18,6.7486957121
29,6.748695711
31,6.7486957099
35,6.7486957088
38,6.7486957077
31,6.7486957066
16,6.7486957055
4,6.7486957044
-4,6.7486957033
-16,6.7486957022
-18,6.7486957011
-22,6.7486957
-19,6.7486956989
-19,6.7486956978
-10,6.7486956967
-2,6.7486956956
2,6.7486956945
18,6.7486956934
26,6.7486956923
29,6.7486956912
31,6.7486956901
31,6.748695689
21,6.7486956879
11,6.7486956868
-3,6.7486956857
-20,6.7486956846
-24,6.7486956835
-27,6.7486956824
-23,6.7486956813
-14,6.7486956802
-1,6.7486956791
15,6.748695678
26,6.7486956769
30,6.7486956758
30,6.7486956747
25,6.7486956736
17,6.7486956725
11,6.7486956714
-1,6.7486956703
-11,6.7486956692
-20,6.7486956681
-24,6.748695667
-23,6.7486956659
-23,6.7486956648
-14,6.7486956637
-7,6.7486956626
8,6.7486956615
20,6.7486956604
31,6.7486956593
36,6.7486956582
32,6.7486956571
30,6.748695656
25,6.7486956549
13,6.7486956538
1,6.7486956527
-6,6.7486956516
-17,6.7486956505
-24,6.7486956494
-25,6.7486956483
-21,6.7486956472
-10,6.7486956461
2,6.748695645
5,6.7486956439
15,6.7486956428
30,6.7486956417
35,6.7486956406
39,6.7486956395
36,6.7486956384
31,6.7486956373
21,6.7486956362
3,6.7486956351
-7,6.748695634
-16,6.7486956329
-19,6.7486956318
-22,6.7486956307
-21,6.7486956296
-8,6.7486956285
5,6.7486956274
10,6.7486956263
22,6.7486956252
27,6.7486956241
31,6.748695623
34,6.7486956219
26,6.7486956208
13,6.7486956197
-3,6.7486956186
-13,6.7486956175
-25,6.7486956164
-38,6.7486956153
-41,6.7486956142
-41,6.7486956131
-35,6.748695612
-19,6.7486956109
-1,6.7486956098
20,6.7486956087
39,6.7486956076
55,6.7486956065
70,6.7486956054
66,6.7486956043
62,6.7486956032
41,6.7486956021
18,6.748695601
3,6.7486955999
-22,6.7486955988
-46,6.7486955977
-60,6.7486955966
-63,6.7486955955
-55,6.7486955944
-42,6.7486955933
-19,6.7486955922
5,6.7486955911
27,6.74869559
50,6.7486955889
58,6.7486955878
57,6.7486955867
52,6.7486955856
41,6.7486955845
